KALSHI_ID,TIMESTAMP,end_period_ts,open_interest,volume,price_close,price_high,price_low,price_mean,price_open
KXNBAGAME-26MAR01PORATL-ATL,2026-03-01 18:00:00+00:00,1772388000,45444.0,1245.0,0.66,0.67,0.65,0.6656,0.67
KXNBAGAME-26MAR01PHIBOS-BOS,2026-03-01 20:00:00+00:00,1772395200,70362.0,3668.0,0.77,0.77,0.76,0.7691,0.77
KXNBAGAME-26MAR01MILCHI-CHI,2026-03-01 15:00:00+00:00,1772377200,32826.0,14453.0,0.41,0.42,0.41,0.4124,0.41
KXNBAGAME-26MAR01OKCDAL-DAL,2026-03-01 20:00:00+00:00,1772395200,162289.0,12587.0,0.11,0.11,0.1,0.1077,0.1
KXNBAGAME-26MAR01MINDEN-DEN,2026-03-01 15:00:00+00:00,1772377200,140720.0,5612.0,0.6,0.6,0.59,0.5997,0.6
KXNBAGAME-26MAR01NOPLAC-LAC,2026-03-01 21:00:00+00:00,1772398800,45724.0,3710.0,0.74,0.76,0.73,0.7554,0.76
KXNBAGAME-26MAR01SACLAL-LAL,2026-03-01 21:00:00+00:00,1772398800,136450.0,4165.0,0.87,0.87,0.86,0.8696,0.87
KXNBAGAME-26MAR02BOSMIL-MIL,2026-03-02 19:00:00+00:00,1772478000,742457.0,754516.0,0.47,0.52,0.25,0.3225,0.26
KXNBAGAME-26MAR02LACGSW-GSW,2026-03-02 22:00:00+00:00,1772488800,159446.0,16444.0,0.47,0.5,0.46,0.4721,0.5
KXNBAGAME-26MAR02DENUTA-UTA,2026-03-02 21:00:00+00:00,1772485200,365570.0,4292.0,0.16,0.16,0.15,0.1598,0.16
KXNBAGAME-26MAR02HOUWAS-WAS,2026-03-02 19:00:00+00:00,1772478000,171110.0,8499.0,0.11,0.11,0.1,0.1098,0.11
KXNBAGAME-26MAR03MEMMIN-MIN,2026-03-03 20:00:00+00:00,1772568000,95955.0,22665.0,0.88,0.88,0.87,0.88,0.88
KXNBAGAME-26MAR03WASORL-ORL,2026-03-03 19:00:00+00:00,1772564400,65077.0,4339.0,0.9,0.91,0.9,0.9075,0.91
KXNBAGAME-26MAR03SASPHI-PHI,2026-03-03 20:00:00+00:00,1772568000,42812.0,2863.0,0.26,0.26,0.25,0.26,0.26
KXNBAGAME-26MAR03PHXSAC-SAC,2026-03-03 23:00:00+00:00,1772578800,45596.0,3105.0,0.24,0.24,0.22,0.2339,0.24
KXNBAGAME-26MAR03DETCLE-CLE,2026-03-03 19:00:00+00:00,1772564400,184869.0,19825.0,0.43,0.44,0.43,0.4393,0.44
KXNBAGAME-26MAR03OKCCHI-CHI,2026-03-03 20:00:00+00:00,1772568000,85526.0,2608.0,0.23,0.23,0.21,0.2256,0.22
KXNBAGAME-26MAR03NOPLAL-LAL,2026-03-03 22:00:00+00:00,1772575200,261209.0,28331.0,0.77,0.77,0.76,0.7699,0.77
KXNBAGAME-26MAR03BKNMIA-MIA,2026-03-03 19:00:00+00:00,1772564400,71779.0,2687.0,0.86,0.86,0.85,0.8599,0.86
KXNBAGAME-26MAR03NYKTOR-TOR,2026-03-03 19:00:00+00:00,1772564400,38236.0,5392.0,0.44,0.44,0.43,0.4344,0.44
KXNBAGAME-26MAR03DALCHA-CHA,2026-03-03 19:00:00+00:00,1772564400,223266.0,27614.0,0.86,0.86,0.85,0.8599,0.86
KXNBAGAME-26MAR04ATLMIL-MIL,2026-03-04 21:00:00+00:00,1772658000,130842.0,11516.0,0.52,0.52,0.51,0.5199,0.52
KXNBAGAME-26MAR04OKCNYK-NYK,2026-03-04 19:00:00+00:00,1772650800,377686.0,46206.0,0.4,0.4,0.39,0.3996,0.4
KXNBAGAME-26MAR04UTAPHI-PHI,2026-03-04 19:00:00+00:00,1772650800,136427.0,11011.0,0.77,0.78,0.76,0.7713,0.78
KXNBAGAME-26MAR04CHABOS-BOS,2026-03-04 19:00:00+00:00,1772650800,250635.0,18359.0,0.7,0.7,0.69,0.6999,0.7
KXNBAGAME-26MAR04INDLAC-LAC,2026-03-04 22:00:00+00:00,1772661600,174698.0,14959.0,0.85,0.86,0.85,0.8599,0.85
KXNBAGAME-26MAR04PORMEM-MEM,2026-03-04 20:00:00+00:00,1772654400,54339.0,6368.0,0.22,0.24,0.21,0.2181,0.24
KXNBAGAME-26MAR05TORMIN-MIN,2026-03-05 20:00:00+00:00,1772740800,122228.0,12138.0,0.66,0.66,0.64,0.6553,0.66
KXNBAGAME-26MAR05DALORL-ORL,2026-03-05 19:00:00+00:00,1772737200,146506.0,25073.0,0.79,0.79,0.78,0.7899,0.79
